[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220414-dilution-new4_14_12.lcd
Output Date,11/20/2023
Output Time,3:54:27 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3892
0.00167,-3892
0.00333,-3894
0.00500,-3896
0.00667,-3898
0.00833,-0
0.01000,-3
0.01167,-7
0.01333,-11
0.01500,-17
0.01667,-23
0.01833,-28
0.02000,-34
0.02167,-39
0.02333,-45
0.02500,-50
0.02667,-54
0.02833,-0
0.03000,-2
0.03167,-3
0.03333,-5
0.03500,-6
0.03667,-8
0.03833,-10
0.04000,-13
0.04167,-15
0.04333,-18
0.04500,-21
0.04667,-24
0.04833,-27
0.05000,-30
0.05167,-34
0.05333,-37
0.05500,-40
0.05667,-44
0.05833,-48
0.06000,-51
0.06167,-55
0.06333,-58
0.06500,-62
0.06667,-66
0.06833,-69
0.07000,-71
0.07167,-73
0.07333,-75
0.07500,-77
0.07667,-79
0.07833,-81
0.08000,-84
0.08167,-87
0.08333,-90
0.08500,-93
0.08667,-96
0.08833,-99
0.09000,-103
0.09167,-106
0.09333,-108
0.09500,-109
0.09667,-110
0.09833,-110
0.10000,-110
0.10167,-111
0.10333,-112
0.10500,-114
0.10667,-116
0.10833,-119
0.11000,-121
0.11167,-124
0.11333,-126
0.11500,-129
0.11667,-132
0.11833,-134
0.12000,-135
0.12167,-137
0.12333,-138
0.12500,-139
0.12667,-141
0.12833,-142
0.13000,-144
0.13167,-146
0.13333,-148
0.13500,-149
0.13667,-150
0.13833,-151
0.14000,-151
0.14167,-151
0.14333,-152
0.14500,-154
0.14667,-156
0.14833,-158
0.15000,-161
0.15167,-164
0.15333,-167
0.15500,-170
0.15667,-173
0.15833,-176
0.16000,-179
0.16167,-180
0.16333,-181
0.16500,-182
0.16667,-182
0.16833,-183
0.17000,-183
0.17167,-184
0.17333,-185
0.17500,-186
0.17667,-187
0.17833,-189
0.18000,-191
0.18167,-194
0.18333,-196
0.18500,-198
0.18667,-200
0.18833,-201
0.19000,-202
0.19167,-203
0.19333,-203
0.19500,-203
0.19667,-203
0.19833,-202
0.20000,-201
0.20167,-201
0.20333,-201
0.20500,-202
0.20667,-203
0.20833,-204
0.21000,-205
0.21167,-205
0.21333,-206
0.21500,-206
0.21667,-206
0.21833,-205
0.22000,-204
0.22167,-202
0.22333,-199
0.22500,-195
0.22667,-190
0.22833,-184
0.23000,-176
0.23167,-168
0.23333,-235
0.23500,-443
0.23667,-811
0.23833,-1338
0.24000,-2021
0.24167,-2546
0.24333,-2689
0.24500,-2436
0.24667,-1831
0.24833,-911
0.25000,1852
0.25167,7831
0.25333,17484
0.25500,30917
0.25667,48141
0.25833,72587
0.26000,108221
0.26167,157432
0.26333,221581
0.26500,301381
0.26667,392648
0.26833,496328
0.27000,618525
0.27167,765068
0.27333,939927
0.27500,1107302
0.27667,1245719
0.27833,1361807
0.28000,1467644
0.28167,1573321
0.28333,1653284
0.28500,1688950
0.28667,1682536
0.28833,1640995
0.29000,1570746
0.29167,1487043
0.29333,1396950
0.29500,1297163
0.29667,1182590
0.29833,1049174
0.30000,917863
0.30167,799911
0.30333,688837
0.30500,575323
0.30667,451928
0.30833,338390
0.31000,246464
0.31167,170627
0.31333,102381
0.31500,34797
0.31667,-21062
0.31833,-57729
0.32000,-77864
0.32167,-86027
0.32333,-86065
0.32500,-80430
0.32667,-70125
0.32833,-55345
0.33000,-36026
0.33167,-12094
0.33333,10868
0.33500,29456
0.33667,44454
0.33833,57511
0.34000,70045
0.34167,79982
0.34333,85872
0.34500,88188
0.34667,87767
0.34833,85327
0.35000,81861
0.35167,77872
0.35333,73307
0.35500,67985
0.35667,61746
0.35833,55732
0.36000,50599
0.36167,46083
0.36333,41749
0.36500,37242
0.36667,33150
0.36833,29810
0.37000,27000
0.37167,24407
0.37333,21785
0.37500,19422
0.37667,17482
0.37833,15825
0.38000,14270
0.38167,12676
0.38333,11236
0.38500,10064
0.38667,9078
0.38833,8169
0.39000,7248
0.39167,6430
0.39333,5779
0.39500,5249
0.39667,4778
0.39833,4315
0.40000,3918
0.40167,3624
0.40333,3410
0.40500,3246
0.40667,3105
0.40833,3004
0.41000,2958
0.41167,2959
0.41333,2998
0.41500,3069
0.41667,3158
0.41833,3261
0.42000,3382
0.42167,3526
0.42333,3698
0.42500,3860
0.42667,3991
0.42833,4095
0.43000,4186
0.43167,4273
0.43333,4333
0.43500,4348
0.43667,4320
0.43833,4254
0.44000,4156
0.44167,4042
0.44333,3918
0.44500,3780
0.44667,3620
