[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220414-dilution-new1_11_09.lcd
Output Date,11/20/2023
Output Time,3:54:27 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3986
0.00167,-3986
0.00333,-3989
0.00500,-0
0.00667,-4
0.00833,-8
0.01000,-13
0.01167,-18
0.01333,-25
0.01500,-32
0.01667,-38
0.01833,-44
0.02000,-49
0.02167,-56
0.02333,-61
0.02500,-0
0.02667,-2
0.02833,-3
0.03000,-2
0.03167,-1
0.03333,-1
0.03500,-2
0.03667,-3
0.03833,-4
0.04000,-7
0.04167,-10
0.04333,-14
0.04500,-19
0.04667,-25
0.04833,-31
0.05000,-35
0.05167,-38
0.05333,-40
0.05500,-41
0.05667,-41
0.05833,-42
0.06000,-43
0.06167,-44
0.06333,-45
0.06500,-46
0.06667,-49
0.06833,-52
0.07000,-56
0.07167,-60
0.07333,-65
0.07500,-69
0.07667,-73
0.07833,-77
0.08000,-80
0.08167,-84
0.08333,-87
0.08500,-91
0.08667,-95
0.08833,-99
0.09000,-103
0.09167,-107
0.09333,-109
0.09500,-112
0.09667,-114
0.09833,-115
0.10000,-115
0.10167,-115
0.10333,-113
0.10500,-109
0.10667,-107
0.10833,-105
0.11000,-104
0.11167,-103
0.11333,-103
0.11500,-104
0.11667,-105
0.11833,-107
0.12000,-110
0.12167,-113
0.12333,-117
0.12500,-120
0.12667,-123
0.12833,-127
0.13000,-131
0.13167,-135
0.13333,-138
0.13500,-142
0.13667,-145
0.13833,-149
0.14000,-153
0.14167,-155
0.14333,-156
0.14500,-156
0.14667,-156
0.14833,-155
0.15000,-154
0.15167,-154
0.15333,-153
0.15500,-152
0.15667,-151
0.15833,-151
0.16000,-151
0.16167,-152
0.16333,-154
0.16500,-156
0.16667,-158
0.16833,-160
0.17000,-163
0.17167,-166
0.17333,-169
0.17500,-172
0.17667,-175
0.17833,-178
0.18000,-182
0.18167,-186
0.18333,-190
0.18500,-193
0.18667,-197
0.18833,-201
0.19000,-205
0.19167,-208
0.19333,-210
0.19500,-211
0.19667,-212
0.19833,-212
0.20000,-213
0.20167,-212
0.20333,-212
0.20500,-212
0.20667,-211
0.20833,-210
0.21000,-210
0.21167,-210
0.21333,-210
0.21500,-210
0.21667,-209
0.21833,-209
0.22000,-208
0.22167,-207
0.22333,-205
0.22500,-204
0.22667,-204
0.22833,-203
0.23000,-203
0.23167,-287
0.23333,-526
0.23500,-939
0.23667,-1530
0.23833,-2295
0.24000,-3264
0.24167,-4510
0.24333,-6110
0.24500,-8120
0.24667,-10568
0.24833,-11750
0.25000,-10340
0.25167,-6142
0.25333,701
0.25500,9991
0.25667,20606
0.25833,32193
0.26000,45338
0.26167,60715
0.26333,78904
0.26500,109112
0.26667,160146
0.26833,235825
0.27000,337696
0.27167,466156
0.27333,597158
0.27500,717600
0.27667,833177
0.27833,952900
0.28000,1084000
0.28167,1191781
0.28333,1252155
0.28500,1267711
0.28667,1247181
0.28833,1198637
0.29000,1135397
0.29167,1063666
0.29333,981440
0.29500,885141
0.29667,771867
0.29833,660775
0.30000,562448
0.30167,471665
0.30333,380530
0.30500,282659
0.30667,193059
0.30833,120643
0.31000,60925
0.31167,7166
0.31333,-46098
0.31500,-89734
0.31667,-117498
0.31833,-131389
0.32000,-134990
0.32167,-131354
0.32333,-123018
0.32500,-111065
0.32667,-95464
0.32833,-75903
0.33000,-52121
0.33167,-29517
0.33333,-11397
0.33500,3034
0.33667,15414
0.33833,27148
0.34000,36660
0.34167,42885
0.34333,46344
0.34500,47828
0.34667,47990
0.34833,47258
0.35000,45824
0.35167,43738
