[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220414-dilution-new3_13_11.lcd
Output Date,11/20/2023
Output Time,3:54:27 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3925
0.00167,-3925
0.00333,-3929
0.00500,-3934
0.00667,-3939
0.00833,-3945
0.01000,-3951
0.01167,-0
0.01333,-6
0.01500,-11
0.01667,-17
0.01833,-23
0.02000,-27
0.02167,-0
0.02333,-2
0.02500,-3
0.02667,-4
0.02833,-6
0.03000,-9
0.03167,-13
0.03333,-18
0.03500,-23
0.03667,-28
0.03833,-33
0.04000,-37
0.04167,-42
0.04333,-46
0.04500,-49
0.04667,-52
0.04833,-54
0.05000,-56
0.05167,-58
0.05333,-59
0.05500,-61
0.05667,-63
0.05833,-65
0.06000,-67
0.06167,-69
0.06333,-71
0.06500,-74
0.06667,-77
0.06833,-80
0.07000,-83
0.07167,-88
0.07333,-93
0.07500,-98
0.07667,-104
0.07833,-109
0.08000,-113
0.08167,-117
0.08333,-121
0.08500,-125
0.08667,-128
0.08833,-130
0.09000,-132
0.09167,-133
0.09333,-135
0.09500,-136
0.09667,-137
0.09833,-138
0.10000,-139
0.10167,-140
0.10333,-141
0.10500,-143
0.10667,-145
0.10833,-148
0.11000,-151
0.11167,-153
0.11333,-155
0.11500,-157
0.11667,-159
0.11833,-161
0.12000,-163
0.12167,-164
0.12333,-165
0.12500,-166
0.12667,-167
0.12833,-167
0.13000,-167
0.13167,-167
0.13333,-167
0.13500,-166
0.13667,-166
0.13833,-166
0.14000,-166
0.14167,-167
0.14333,-167
0.14500,-169
0.14667,-171
0.14833,-174
0.15000,-178
0.15167,-182
0.15333,-185
0.15500,-188
0.15667,-191
0.15833,-194
0.16000,-196
0.16167,-198
0.16333,-200
0.16500,-202
0.16667,-203
0.16833,-205
0.17000,-206
0.17167,-207
0.17333,-208
0.17500,-209
0.17667,-210
0.17833,-212
0.18000,-213
0.18167,-215
0.18333,-217
0.18500,-219
0.18667,-220
0.18833,-222
0.19000,-223
0.19167,-224
0.19333,-225
0.19500,-227
0.19667,-228
0.19833,-229
0.20000,-230
0.20167,-232
0.20333,-233
0.20500,-234
0.20667,-236
0.20833,-238
0.21000,-239
0.21167,-241
0.21333,-242
0.21500,-244
0.21667,-246
0.21833,-248
0.22000,-249
0.22167,-250
0.22333,-251
0.22500,-252
0.22667,-252
0.22833,-253
0.23000,-252
0.23167,-252
0.23333,-252
0.23500,-405
0.23667,-843
0.23833,-1601
0.24000,-2684
0.24167,-4079
0.24333,-4769
0.24500,-3967
0.24667,-1554
0.24833,2389
0.25000,7752
0.25167,14601
0.25333,23342
0.25500,34487
0.25667,48441
0.25833,65525
0.26000,93147
0.26167,138579
0.26333,205133
0.26500,294239
0.26667,406382
0.26833,527775
0.27000,653121
0.27167,789132
0.27333,943834
0.27500,1123192
0.27667,1287350
0.27833,1411037
0.28000,1500081
0.28167,1566734
0.28333,1621556
0.28500,1652377
0.28667,1648949
0.28833,1612111
0.29000,1545321
0.29167,1451904
0.29333,1349794
0.29500,1247887
0.29667,1141778
0.29833,1024817
0.30000,891678
0.30167,762676
0.30333,648896
0.30500,543861
0.30667,438297
0.30833,324800
0.31000,221884
0.31167,140826
0.31333,76692
0.31500,21691
0.31667,-30573
0.31833,-71630
0.32000,-95475
0.32167,-104080
0.32333,-100937
0.32500,-89036
0.32667,-73396
0.32833,-56765
0.33000,-38978
0.33167,-19170
0.33333,3443
0.33500,24251
0.33667,40402
0.33833,52722
0.34000,62760
0.34167,71831
