[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220729-old_6_04.lcd
Output Date,11/20/2023
Output Time,12:56:16 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.61000,-73
0.61167,-79
0.61333,-84
0.61500,-91
0.61667,-98
0.61833,-105
0.62000,-110
0.62167,-115
0.62333,-119
0.62500,-124
0.62667,-127
0.62833,-129
0.63000,-130
0.63167,-129
0.63333,-127
0.63500,-124
0.63667,-121
0.63833,-117
0.64000,-111
0.64167,-104
0.64333,-97
0.64500,-91
0.64667,-85
0.64833,-78
0.65000,-71
0.65167,-64
0.65333,-56
0.65500,-47
0.65667,-37
0.65833,-25
0.66000,-13
0.66167,-0
0.66333,12
0.66500,27
0.66667,43
0.66833,60
0.67000,76
0.67167,94
0.67333,113
0.67500,135
0.67667,157
0.67833,177
0.68000,197
0.68167,218
0.68333,242
0.68500,263
0.68667,279
0.68833,289
0.69000,296
0.69167,301
0.69333,304
0.69500,305
0.69667,303
0.69833,299
0.70000,294
0.70167,288
0.70333,283
0.70500,280
0.70667,277
0.70833,274
0.71000,272
0.71167,271
0.71333,271
0.71500,272
0.71667,274
0.71833,276
0.72000,279
0.72167,284
0.72333,290
0.72500,297
0.72667,304
0.72833,310
0.73000,316
0.73167,322
0.73333,327
0.73500,333
0.73667,337
0.73833,340
0.74000,343
0.74167,346
0.74333,348
0.74500,349
0.74667,349
0.74833,348
0.75000,346
0.75167,344
0.75333,341
0.75500,338
0.75667,334
0.75833,330
0.76000,326
0.76167,324
0.76333,324
0.76500,325
0.76667,327
0.76833,329
0.77000,331
0.77167,334
0.77333,336
0.77500,339
0.77667,342
0.77833,345
0.78000,348
0.78167,352
0.78333,357
0.78500,362
0.78667,367
0.78833,371
0.79000,376
0.79167,382
0.79333,387
0.79500,391
0.79667,393
0.79833,394
0.80000,394
0.80167,394
0.80333,394
0.80500,393
0.80667,393
0.80833,392
0.81000,391
0.81167,389
0.81333,386
0.81500,382
0.81667,376
0.81833,369
0.82000,362
0.82167,354
0.82333,344
0.82500,332
0.82667,320
0.82833,309
0.83000,297
0.83167,285
